"URL d'accès au document";"Type de document";"Titre";"Auteurs";"Contributeur";"Éditeurs";"Date d'édition";"Description";"Nombre de Vues";"Provenance";"Droits";"Ark Catalogue"
"https://gallica.bnf.fr/ark:/12148/bpt6k28996724";"texte -- text -- publication en série imprimée -- printed serial";"Phare de la Loire : bulletin commercial et maritime de Nantes";"";"";" (Nantes)";"1913-05-21";"21 mai 1913 -- 1913/05/21 (A99,N25953). -- ";"";"Bibliothèque nationale de France, département Droit, économie, politique, JOB-23";"conditions spécifiques d'utilisation - BnF-partenariats, Presse Ancienne RetroNews -- restricted use";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32839062c -- https://gallica.bnf.fr/ark:/12148/cb32839062c/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k1683905x";"texte -- text -- publication en série imprimée -- printed serial";"Mercure de France : série moderne / directeur Alfred Vallette";"";"Vallette, Alfred (1858-1935). Directeur de publication";" (Paris)";"1914-01-01";"01 janvier 1914 -- 1914/01/01 (N107). --  -- Appartient à l’ensemble documentaire : Pam1";"";"Bibliothèque nationale de France, département Littérature et art, 8-Z-12830";"conditions spécifiques d'utilisation - BnF-partenariats, Presse Ancienne - RetroNews -- restricted use";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb34427363f -- https://gallica.bnf.fr/ark:/12148/cb34427363f/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k2941710r";"texte -- text -- publication en série imprimée -- printed serial";"L'Action : quotidienne, anticléricale, républicaine, socialiste";"";"Bérenger, Henry (1867-1952). Directeur de publication -- Parsons, Léon (1872-1941). Directeur de publication";" (Paris)";"1914-02-08";"08 février 1914 -- 1914/02/08 (A12,N3864). -- ";"";"Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, GR FOL-LC2-6143";"conditions spécifiques d'utilisation - BnF-partenariats, Presse Ancienne RetroNews -- restricted use";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb326821363 -- https://gallica.bnf.fr/ark:/12148/cb326821363/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k2435620j";"texte -- text -- publication en série imprimée -- printed serial";"Express : journal politique paraissant à Mulhouse -- Express : Politische Zeitung erschinend in Mülhausen -- Express : Mülhauser Zeitung";"";"";" (Mulhouse)";"1914-04-03";"03 avril 1914 -- 1914/04/03 (A38,N78). -- ";"";"Bibliothèque nationale de France, département Droit, économie, politique, JOB-28";"conditions spécifiques d'utilisation - BnF-partenariats, Presse Ancienne RetroNews -- restricted use";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32772298w -- https://gallica.bnf.fr/ark:/12148/cb32772298w/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k3504133r";"texte -- text -- publication en série imprimée -- printed serial";"L'Evénement";"";"Magnier, Edmond (1841-1906). Rédacteur";" (Paris)";"1913-01-21";"21 janvier 1913 -- 1913/01/21 (A32,N17026). -- ";"";"Bibliothèque nationale de France, département Centre technique du livre, GR FOL-LC2-3544";"conditions spécifiques d'utilisation - BnF-partenariats, Presse Ancienne RetroNews -- restricted use";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32771670c -- https://gallica.bnf.fr/ark:/12148/cb32771670c/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k2541767k";"texte -- text -- publication en série imprimée -- printed serial";"L'Estafette";"";"Villemessant, Hippolyte de (1810-1879). Directeur de publication -- Daudet, Ernest (1837-1921). Directeur de publication -- Détroyat, Léonce (1829-1898). Directeur de publication";" (Paris)";"1913-07-25";"25 juillet 1913 -- 1913/07/25 (A38,N198). -- ";"";"Bibliothèque nationale de France, département Droit, économie, politique, GR FOL-LC2-3823";"conditions spécifiques d'utilisation - BnF-partenariats, Presse Ancienne RetroNews -- restricted use";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb327695777 -- https://gallica.bnf.fr/ark:/12148/cb327695777/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k3510144k";"texte -- text -- publication en série imprimée -- printed serial";"L'Autorité / dir. Paul de Cassagnac";"";"Cassagnac, Paul de (1842-1904). Directeur de publication -- Granier de Cassagnac, Paul-J. de. Directeur de publication -- Granier de Cassagnac, Guy. Directeur de publication";" (Paris)";"1914-07-23";"23 juillet 1914 -- 1914/07/23 (A29,N204). -- ";"";"Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, GR FOL-LC2-4445";"conditions spécifiques d'utilisation - BnF-partenariats, Presse Ancienne RetroNews -- restricted use";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb327073471 -- https://gallica.bnf.fr/ark:/12148/cb327073471/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k3533238p";"texte -- text -- publication en série imprimée -- printed serial";"Le Courrier du soir : quotidien, politique, littéraire";"";"";" (Paris)";"1914-07-14";"14 juillet 1914 -- 1914/07/14 (A35,N8172). -- ";"";"Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, GR FOL-LC2-3932";"conditions spécifiques d'utilisation - BnF-partenariats, Presse Ancienne RetroNews -- restricted use";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb327513390 -- https://gallica.bnf.fr/ark:/12148/cb327513390/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k3618998m";"texte -- text -- publication en série imprimée -- printed serial";"Le Petit moniteur universel : journal quotidien";"";"";" (Paris)";"1913-07-25";"25 juillet 1913 -- 1913/07/25 (A49,N198). -- ";"";"Bibliothèque nationale de France, département Droit, économie, politique, GR FOL-LC2-3036";"conditions spécifiques d'utilisation - BnF-partenariats, Presse Ancienne RetroNews -- restricted use";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32837006d -- https://gallica.bnf.fr/ark:/12148/cb32837006d/date"
"https://gallica.bnf.fr/ark:/12148/bpt6k1859705r";"texte -- text -- publication en série imprimée -- printed serial";"Le Guetteur de Saint-Quentin et de l'Aisne";"";"";" (Saint-Quentin)";"1913-11-29";"29 novembre 1913 -- 1913/11/29 (A45,N279). -- ";"";"Bibliothèque nationale de France, département Centre technique du livre, JO 88353";"conditions spécifiques d'utilisation - BnF-partenariats, Presse Ancienne - RetroNews -- restricted use";"Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32784500v -- https://gallica.bnf.fr/ark:/12148/cb32784500v/date"
